category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Meats and poultry,Other meats,1981-04-01,7698,2024/08/13 09:31:54,91633
Fish and seafood,Fish and seafood,1996-10-01,7684,2024/08/13 09:31:54,91626
Fish and seafood,Fish and seafood,1996-04-01,7661,2024/08/13 09:31:54,91626
Fish and seafood,Fish and seafood,1996-11-01,7655,2024/08/13 09:31:54,91626
"Milk, dairy products, and eggs",Eggs,2005-12-01,7897,2024/08/13 09:31:54,91499
"Milk, dairy products, and eggs",Eggs,2005-11-01,7867,2024/08/13 09:31:54,91499
"Milk, dairy products, and eggs",Eggs,2005-10-01,7825,2024/08/13 09:31:54,91499
Fish and seafood,Fish and seafood,1997-12-01,8009,2024/08/13 09:31:54,91487
Fish and seafood,Fish and seafood,1997-11-01,7921,2024/08/13 09:31:54,91487
Fish and seafood,Fish and seafood,1997-10-01,7781,2024/08/13 09:31:54,91487
Fats and oils,Fats and oils,1986-01-01,8027,2024/08/13 09:31:54,91388
Fats and oils,Fats and oils,1986-02-01,7912,2024/08/13 09:31:54,91388
Fats and oils,Fats and oils,1986-03-01,7865,2024/08/13 09:31:54,91388
Fresh fruits and vegetables,Fruit (fresh),1984-11-01,7731,2024/08/13 09:31:54,91160
Fresh fruits and vegetables,Fruit (fresh),1984-09-01,7708,2024/08/13 09:31:54,91160
Fresh fruits and vegetables,Fruit (fresh),1984-12-01,7688,2024/08/13 09:31:54,91160
Alcoholic beverages,Spirits,1983-12-01,7913,2024/08/13 09:31:54,91099
Alcoholic beverages,Spirits,1983-11-01,7842,2024/08/13 09:31:54,91099
Alcoholic beverages,Spirits,1983-09-01,7779,2024/08/13 09:31:54,91099
Alcoholic beverages,Spirits,1975-11-01,7770,2024/08/13 09:31:54,91092
Alcoholic beverages,Spirits,1975-10-01,7746,2024/08/13 09:31:54,91092
Alcoholic beverages,Spirits,1975-09-01,7741,2024/08/13 09:31:54,91092
Alcoholic beverages,Beer,1973-12-01,8105,2024/08/13 09:31:54,90864
Alcoholic beverages,Beer,1973-11-01,7824,2024/08/13 09:31:54,90864
Alcoholic beverages,Beer,1973-10-01,7757,2024/08/13 09:31:54,90864
Fish and seafood,Fish and seafood,1995-01-01,7637,2024/08/13 09:31:54,90603
Fish and seafood,Fish and seafood,1995-12-01,7604,2024/08/13 09:31:54,90603
Fish and seafood,Fish and seafood,1995-05-01,7577,2024/08/13 09:31:54,90603
Fish and seafood,Fish and seafood,1994-09-01,7606,2024/08/13 09:31:54,90486
Fish and seafood,Fish and seafood,1994-10-01,7595,2024/08/13 09:31:54,90486
Fish and seafood,Fish and seafood,1994-12-01,7594,2024/08/13 09:31:54,90486
Meats and poultry,Beef and veal,1961-12-01,7647,2024/08/13 09:31:54,90167
Meats and poultry,Beef and veal,1961-09-01,7584,2024/08/13 09:31:54,90167
Meats and poultry,Beef and veal,1961-10-01,7549,2024/08/13 09:31:54,90167
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2003-08-01,7614,2024/08/13 09:31:54,90113
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2003-11-01,7610,2024/08/13 09:31:54,90113
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2003-12-01,7600,2024/08/13 09:31:54,90113
Alcoholic beverages,Spirits,1984-12-01,7634,2024/08/13 09:31:54,90008
Alcoholic beverages,Spirits,1984-01-01,7595,2024/08/13 09:31:54,90008
Alcoholic beverages,Spirits,1984-11-01,7572,2024/08/13 09:31:54,90008
Alcoholic beverages,Wine,1988-12-01,7693,2024/08/13 09:31:54,89262
Alcoholic beverages,Wine,1988-11-01,7579,2024/08/13 09:31:54,89262
Alcoholic beverages,Wine,1988-08-01,7517,2024/08/13 09:31:54,89262
Fish and seafood,Fish and seafood,1992-01-01,7605,2024/08/13 09:31:54,88968
Fish and seafood,Fish and seafood,1992-02-01,7501,2024/08/13 09:31:54,88968
Fish and seafood,Fish and seafood,1992-04-01,7442,2024/08/13 09:31:54,88968
Meats and poultry,Beef and veal,1959-12-01,7490,2024/08/13 09:31:54,88963
Meats and poultry,Beef and veal,1959-06-01,7466,2024/08/13 09:31:54,88963
Meats and poultry,Beef and veal,1959-01-01,7462,2024/08/13 09:31:54,88963
Fish and seafood,Fish and seafood,1993-12-01,7471,2024/08/13 09:31:54,88806
Fish and seafood,Fish and seafood,1993-11-01,7449,2024/08/13 09:31:54,88806
Fish and seafood,Fish and seafood,1993-09-01,7431,2024/08/13 09:31:54,88806
Meats and poultry,Other meats,1979-11-01,7580,2024/08/13 09:31:54,88607
Meats and poultry,Other meats,1979-06-01,7546,2024/08/13 09:31:54,88607
Meats and poultry,Other meats,1979-12-01,7544,2024/08/13 09:31:54,88607
Fats and oils,Fats and oils,1987-12-01,7540,2024/08/13 09:31:54,88517
Fats and oils,Fats and oils,1987-11-01,7464,2024/08/13 09:31:54,88517
Fats and oils,Fats and oils,1987-10-01,7432,2024/08/13 09:31:54,88517
Meats and poultry,Beef and veal,1960-04-01,7509,2024/08/13 09:31:54,88431
Meats and poultry,Beef and veal,1960-11-01,7479,2024/08/13 09:31:54,88431
Meats and poultry,Beef and veal,1960-03-01,7422,2024/08/13 09:31:54,88431
Cereals and bakery products,Bakery products,1967-12-01,7525,2024/08/13 09:31:54,88067
Cereals and bakery products,Bakery products,1967-09-01,7373,2024/08/13 09:31:54,88067
Cereals and bakery products,Bakery products,1967-11-01,7362,2024/08/13 09:31:54,88067
Cereals and bakery products,Cereals,1978-12-01,7724,2024/08/13 09:31:54,87922
Cereals and bakery products,Cereals,1978-11-01,7588,2024/08/13 09:31:54,87922
Cereals and bakery products,Cereals,1978-09-01,7455,2024/08/13 09:31:54,87922
Cereals and bakery products,Bakery products,1966-07-01,7404,2024/08/13 09:31:54,87769
Cereals and bakery products,Bakery products,1966-04-01,7389,2024/08/13 09:31:54,87769
Cereals and bakery products,Bakery products,1966-03-01,7348,2024/08/13 09:31:54,87769
Fats and oils,Fats and oils,1982-07-01,7344,2024/08/13 09:31:54,87190
Fats and oils,Fats and oils,1982-10-01,7327,2024/08/13 09:31:54,87190
Fats and oils,Fats and oils,1982-12-01,7301,2024/08/13 09:31:54,87190
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2001-05-01,7298,2024/08/13 09:31:54,87110
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2001-04-01,7292,2024/08/13 09:31:54,87110
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2001-09-01,7277,2024/08/13 09:31:54,87110
Fresh fruits and vegetables,Fruit (fresh),1983-11-01,7352,2024/08/13 09:31:54,86871
Fresh fruits and vegetables,Fruit (fresh),1983-12-01,7335,2024/08/13 09:31:54,86871
Fresh fruits and vegetables,Fruit (fresh),1983-07-01,7315,2024/08/13 09:31:54,86871
"Milk, dairy products, and eggs",Processed dairy products,1974-11-01,7719,2024/08/13 09:31:54,86283
"Milk, dairy products, and eggs",Processed dairy products,1974-12-01,7614,2024/08/13 09:31:54,86283
"Milk, dairy products, and eggs",Processed dairy products,1974-10-01,7587,2024/08/13 09:31:54,86283
Alcoholic beverages,Wine,1986-03-01,7308,2024/08/13 09:31:54,86252
Alcoholic beverages,Wine,1986-06-01,7288,2024/08/13 09:31:54,86252
Alcoholic beverages,Wine,1986-07-01,7253,2024/08/13 09:31:54,86252
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2000-12-01,7280,2024/08/13 09:31:54,86055
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2000-10-01,7236,2024/08/13 09:31:54,86055
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2000-06-01,7210,2024/08/13 09:31:54,86055
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2002-11-01,7273,2024/08/13 09:31:54,86054
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2002-12-01,7271,2024/08/13 09:31:54,86054
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",2002-10-01,7186,2024/08/13 09:31:54,86054
Alcoholic beverages,Spirits,1982-01-01,7364,2024/08/13 09:31:54,85857
Alcoholic beverages,Spirits,1982-02-01,7327,2024/08/13 09:31:54,85857
Alcoholic beverages,Spirits,1982-04-01,7314,2024/08/13 09:31:54,85857
Meats and poultry,Pork,1977-11-01,7545,2024/08/13 09:31:54,85824
Meats and poultry,Pork,1977-12-01,7405,2024/08/13 09:31:54,85824
Meats and poultry,Pork,1977-10-01,7336,2024/08/13 09:31:54,85824
Fats and oils,Fats and oils,1983-12-01,7279,2024/08/13 09:31:54,85547
Fats and oils,Fats and oils,1983-11-01,7255,2024/08/13 09:31:54,85547
Fats and oils,Fats and oils,1983-10-01,7183,2024/08/13 09:31:54,85547
Alcoholic beverages,Wine,1987-12-01,7200,2024/08/13 09:31:54,85185
Alcoholic beverages,Wine,1987-10-01,7175,2024/08/13 09:31:54,85185
Alcoholic beverages,Wine,1987-11-01,7172,2024/08/13 09:31:54,85185
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1999-12-01,7369,2024/08/13 09:31:54,84985
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1999-09-01,7137,2024/08/13 09:31:54,84985
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1999-11-01,7108,2024/08/13 09:31:54,84985
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1971-12-01,7469,2024/08/13 09:31:54,84869
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1971-11-01,7323,2024/08/13 09:31:54,84869
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1971-10-01,7236,2024/08/13 09:31:54,84869
Fresh fruits and vegetables,Fruit (fresh),1982-12-01,7185,2024/08/13 09:31:54,84767
Fresh fruits and vegetables,Fruit (fresh),1982-10-01,7152,2024/08/13 09:31:54,84767
Fresh fruits and vegetables,Fruit (fresh),1982-07-01,7119,2024/08/13 09:31:54,84767
Alcoholic beverages,Beer,1971-06-01,7277,2024/08/13 09:31:54,84696
Alcoholic beverages,Beer,1971-12-01,7240,2024/08/13 09:31:54,84696
Alcoholic beverages,Beer,1971-09-01,7159,2024/08/13 09:31:54,84696
Fresh fruits and vegetables,Vegetables (fresh),1978-12-01,7508,2024/08/13 09:31:54,84557
Fresh fruits and vegetables,Vegetables (fresh),1978-11-01,7408,2024/08/13 09:31:54,84557
Fresh fruits and vegetables,Vegetables (fresh),1978-09-01,7295,2024/08/13 09:31:54,84557
Alcoholic beverages,Beer,1972-03-01,7323,2024/08/13 09:31:54,84287
Alcoholic beverages,Beer,1972-04-01,7111,2024/08/13 09:31:54,84287
Alcoholic beverages,Beer,1972-10-01,7093,2024/08/13 09:31:54,84287
Sugar and sweets,Sugar and sweets,1973-12-01,8260,2024/08/13 09:31:54,84064
Sugar and sweets,Sugar and sweets,1973-11-01,7891,2024/08/13 09:31:54,84064
Sugar and sweets,Sugar and sweets,1973-10-01,7576,2024/08/13 09:31:54,84064
Cereals and bakery products,Cereals,1977-11-01,7318,2024/08/13 09:31:54,84063
Cereals and bakery products,Cereals,1977-12-01,7179,2024/08/13 09:31:54,84063
Cereals and bakery products,Cereals,1977-10-01,7123,2024/08/13 09:31:54,84063
Alcoholic beverages,Spirits,1974-11-01,7290,2024/08/13 09:31:54,84028
Alcoholic beverages,Spirits,1974-12-01,7240,2024/08/13 09:31:54,84028
Alcoholic beverages,Spirits,1974-09-01,7193,2024/08/13 09:31:54,84028
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1969-10-01,7150,2024/08/13 09:31:54,84002
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1969-08-01,7112,2024/08/13 09:31:54,84002
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1969-11-01,7108,2024/08/13 09:31:54,84002
Fish and seafood,Fish and seafood,1986-12-01,7436,2024/08/13 09:31:54,83978
Fish and seafood,Fish and seafood,1986-11-01,7355,2024/08/13 09:31:54,83978
Fish and seafood,Fish and seafood,1986-10-01,7296,2024/08/13 09:31:54,83978
"Milk, dairy products, and eggs",Fresh milk,1972-12-01,7223,2024/08/13 09:31:54,83882
"Milk, dairy products, and eggs",Fresh milk,1972-11-01,7196,2024/08/13 09:31:54,83882
"Milk, dairy products, and eggs",Fresh milk,1972-10-01,7193,2024/08/13 09:31:54,83882
"Milk, dairy products, and eggs",Eggs,2004-12-01,7318,2024/08/13 09:31:54,83665
"Milk, dairy products, and eggs",Eggs,2004-11-01,7272,2024/08/13 09:31:54,83665
"Milk, dairy products, and eggs",Eggs,2004-10-01,7207,2024/08/13 09:31:54,83665
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1970-01-01,7194,2024/08/13 09:31:54,83656
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1970-02-01,7104,2024/08/13 09:31:54,83656
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1970-03-01,7075,2024/08/13 09:31:54,83656
Alcoholic beverages,Wine,1985-09-01,7353,2024/08/13 09:31:54,83589
Alcoholic beverages,Wine,1985-12-01,7221,2024/08/13 09:31:54,83589
Alcoholic beverages,Wine,1985-11-01,7129,2024/08/13 09:31:54,83589
Fats and oils,Fats and oils,1981-12-01,7190,2024/08/13 09:31:54,83210
Fats and oils,Fats and oils,1981-10-01,7124,2024/08/13 09:31:54,83210
Fats and oils,Fats and oils,1981-11-01,7112,2024/08/13 09:31:54,83210
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1997-11-01,6986,2024/08/13 09:31:54,83134
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1997-10-01,6979,2024/08/13 09:31:54,83134
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1997-09-01,6975,2024/08/13 09:31:54,83134
Meats and poultry,Other meats,1978-12-01,7146,2024/08/13 09:31:54,82833
Meats and poultry,Other meats,1978-11-01,7076,2024/08/13 09:31:54,82833
Meats and poultry,Other meats,1978-09-01,7038,2024/08/13 09:31:54,82833
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1998-12-01,6967,2024/08/13 09:31:54,82813
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1998-11-01,6918,2024/08/13 09:31:54,82813
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1998-06-01,6909,2024/08/13 09:31:54,82813
Cereals and bakery products,Bakery products,1965-12-01,7228,2024/08/13 09:31:54,82547
Cereals and bakery products,Bakery products,1965-10-01,7209,2024/08/13 09:31:54,82547
Cereals and bakery products,Bakery products,1965-11-01,7075,2024/08/13 09:31:54,82547
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1986-12-01,6984,2024/08/13 09:31:54,81945
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1986-11-01,6962,2024/08/13 09:31:54,81945
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1986-10-01,6961,2024/08/13 09:31:54,81945
"Milk, dairy products, and eggs",Fresh milk,1970-12-01,6998,2024/08/13 09:31:54,81913
"Milk, dairy products, and eggs",Fresh milk,1970-09-01,6905,2024/08/13 09:31:54,81913
"Milk, dairy products, and eggs",Fresh milk,1970-11-01,6866,2024/08/13 09:31:54,81913
Fresh fruits and vegetables,Fruit (fresh),1981-12-01,7018,2024/08/13 09:31:54,81733
Fresh fruits and vegetables,Fruit (fresh),1981-10-01,6982,2024/08/13 09:31:54,81733
Fresh fruits and vegetables,Fruit (fresh),1981-11-01,6957,2024/08/13 09:31:54,81733
Meats and poultry,Poultry,1978-12-01,7353,2024/08/13 09:31:54,81706
Meats and poultry,Poultry,1978-11-01,7233,2024/08/13 09:31:54,81706
Meats and poultry,Poultry,1978-09-01,7080,2024/08/13 09:31:54,81706
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1987-02-01,6992,2024/08/13 09:31:54,81576
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1987-01-01,6965,2024/08/13 09:31:54,81576
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1987-03-01,6928,2024/08/13 09:31:54,81576
"Milk, dairy products, and eggs",Fresh milk,1971-04-01,6856,2024/08/13 09:31:54,81350
"Milk, dairy products, and eggs",Fresh milk,1971-06-01,6835,2024/08/13 09:31:54,81350
"Milk, dairy products, and eggs",Fresh milk,1971-05-01,6833,2024/08/13 09:31:54,81350
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1988-03-01,6776,2024/08/13 09:31:54,80291
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1988-08-01,6747,2024/08/13 09:31:54,80291
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1988-05-01,6714,2024/08/13 09:31:54,80291
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1996-12-01,6807,2024/08/13 09:31:54,80179
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1996-11-01,6784,2024/08/13 09:31:54,80179
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1996-10-01,6771,2024/08/13 09:31:54,80179
Alcoholic beverages,Wine,1983-12-01,6793,2024/08/13 09:31:54,80118
Alcoholic beverages,Wine,1983-11-01,6751,2024/08/13 09:31:54,80118
Alcoholic beverages,Wine,1983-09-01,6725,2024/08/13 09:31:54,80118
Alcoholic beverages,Beer,2021-01-01,79753,2024/08/13 09:31:54,79753
Alcoholic beverages,Wine,1984-12-01,6720,2024/08/13 09:31:54,79422
Alcoholic beverages,Wine,1984-11-01,6697,2024/08/13 09:31:54,79422
Alcoholic beverages,Wine,1984-09-01,6690,2024/08/13 09:31:54,79422
Meats and poultry,Pork,1976-12-01,6751,2024/08/13 09:31:54,79164
Meats and poultry,Pork,1976-01-01,6673,2024/08/13 09:31:54,79164
Meats and poultry,Pork,1976-10-01,6666,2024/08/13 09:31:54,79164
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1989-01-01,6683,2024/08/13 09:31:54,79061
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1989-02-01,6666,2024/08/13 09:31:54,79061
"Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials",1989-03-01,6626,2024/08/13 09:31:54,79061
Alcoholic beverages,Spirits,1973-12-01,6786,2024/08/13 09:31:54,78895
Alcoholic beverages,Spirits,1973-07-01,6641,2024/08/13 09:31:54,78895
Alcoholic beverages,Spirits,1973-06-01,6607,2024/08/13 09:31:54,78895
Cereals and bakery products,Cereals,1976-12-01,6739,2024/08/13 09:31:54,78658
Cereals and bakery products,Cereals,1976-10-01,6678,2024/08/13 09:31:54,78658
Cereals and bakery products,Cereals,1976-11-01,6632,2024/08/13 09:31:54,78658
Sugar and sweets,Sugar and sweets,1972-02-01,6668,2024/08/13 09:31:54,78494
Sugar and sweets,Sugar and sweets,1972-03-01,6663,2024/08/13 09:31:54,78494
Sugar and sweets,Sugar and sweets,1972-04-01,6633,2024/08/13 09:31:54,78494
Meats and poultry,Other meats,1977-11-01,6713,2024/08/13 09:31:54,78444
Meats and poultry,Other meats,1977-05-01,6583,2024/08/13 09:31:54,78444
Meats and poultry,Other meats,1977-12-01,6578,2024/08/13 09:31:54,78444
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1968-11-01,6739,2024/08/13 09:31:54,78419
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1968-12-01,6658,2024/08/13 09:31:54,78419
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1968-08-01,6621,2024/08/13 09:31:54,78419
Cereals and bakery products,Bakery products,1964-12-01,6752,2024/08/13 09:31:54,78236
Cereals and bakery products,Bakery products,1964-08-01,6614,2024/08/13 09:31:54,78236
